lig_name,LF Rank Score,LF dG,LF VSscore
ALP-POS-568d9d36-1	ALP-POS-568d9d36-1			2.752391387			26.27440664	4.5804_D,-5.584,-9.114,-10.102
ALP-POS-902f21bb-1	ALP-POS-902f21bb-1			99.0			99.5						False	False_D,-10.167,-7.133,-8.750
ALP-POS-902f21bb-2	ALP-POS-902f21bb-2			95.24350804			87.17048089	4.0596_D,-6.597,-7.731,-8.905
ALP-POS-e2fddb0f-2	ALP-POS-e2fddb0f-2			53.2515909			99.5						False	Fal_D,-10.852,-7.350,-9.295
ALP-POS-cd485364-1	ALP-POS-cd485364-1			94.20121582			99.5						False	Fa_D,-10.127,-7.163,-8.542
ALP-POS-cd485364-2	ALP-POS-cd485364-2			54.22646414			25.50164457	4.5934_D,-5.703,-7.911,-8.848
MAT-POS-0c8fa4a7-1	MAT-POS-0c8fa4a7-1			0.081067237			0.2332672589999999_D,-7.515,-8.376,-9.565
MAT-POS-0c8fa4a7-2	MAT-POS-0c8fa4a7-2			99.0			99.5					0.0	False	False_D,-6.191,-7.936,-8.893
MAT-POS-0c8fa4a7-3	MAT-POS-0c8fa4a7-3			99.0			99.5						False	False_D,-6.176,-6.333,-7.862
MAT-POS-0c8fa4a7-4	MAT-POS-0c8fa4a7-4			52.64585617			99.5						False	Fa_D,-10.218,-7.012,-8.711
MAT-POS-53907a1c-1	MAT-POS-53907a1c-1			99.0			99.5						False	False_D,-7.363,-7.949,-9.445
MAT-POS-53907a1c-2	MAT-POS-53907a1c-2			99.0			24.56008476	4.609770139_D,-5.830,-9.015,-10.100
MAT-POS-53907a1c-3	MAT-POS-53907a1c-3			1.575312221			0.057809711	7.2379_D,-7.497,-10.785,-12.600
LOR-NOR-c954e7ad-1	LOR-NOR-c954e7ad-1			18.02427699			99.5					132.67260_D,-10.457,-7.608,-8.331
LOR-NOR-c954e7ad-2	LOR-NOR-c954e7ad-2			57.55281351			99.5					0.0	False_D,-5.558,-6.716,-7.459
LOR-NOR-c954e7ad-3	LOR-NOR-c954e7ad-3			24.27859938			99.5					59.218046_D,-5.792,-6.970,-7.612
LOR-NOR-c954e7ad-4	LOR-NOR-c954e7ad-4			99.0			99.5					0.0	False	False_D,-9.464,-6.228,-7.687
