,CID,SMILES,affinity
311,MAT-POS-b3e365b9-2,O=C(Nc1cncc2ccccc12)[C@H]1CCOc2ccc(Cl)cc21,4.230664778
73,LON-WEI-8f408cad-7,O=C(CCl)N1CCN(Cc2ccsc2)CC1,5.944124118
186,RAL-THA-6b94ceba-13,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(S(N)(=O)=O)c1,4.882992023
3,MAT-POS-0c8fa4a7-1,O=C(Nc1cncc2ccccc12)C1=CCCc2ccc(Cl)cc21,7.091154629
91,MAT-POS-53907a1c-3,O=C1CC(Oc2cc(Cl)cc(N(CCC3CCCCC3)C(=O)Nc3cncc4ccccc34)c2)N1,5.802633358
55,ALP-POS-477dc5b7-2,O=C(Nc1cncc2ccccc12)C1CCNc2ccc(Cl)cc21,6.142424209
324,ALP-POS-6747fa38-1,CC(=O)N1CCN(CC(=O)Nc2cncc3ccccc23)CC1,4.139373643
166,TRY-UNI-2eddb1ff-6,Cc1ccncc1NC(=O)Cc1cc(C#N)cc(OC2CC(=O)N2)c1,5.063957779
158,MAR-UCB-f313ec4d-6,O=C(c1cncc2ccccc12)N1CCN(c2ccccc2)CC1,5.139440632
293,TRY-UNI-714a760b-24,Cc1ccncc1NC(=O)Nc1cccc(C#N)c1,4.306895813
101,LON-WEI-4d77710c-64,O=S(=O)(Nc1ccccc1SCc1cccc(Cl)c1F)c1cc(Cl)sc1Cl,5.716911563
14,JOH-UNI-c7afdb96-2,N#C/C(C(=O)Nc1ccc(F)cc1)=C(/O)c1ccc(Cl)cc1,6.631521231
258,MAT-POS-bfb445d4-2,O=C(Cc1cccc(Cl)c1)Nn1nnc2ccccc21,4.508035828
96,NAU-LAT-64f4b287-4,COc1ccc2c(c1)CN(C(=O)CCl)C(c1ccccc1)C2,5.748538819
39,MAT-POS-f2460aef-4,CC(C)(C)c1ccc(N(C(=O)c2ccc(Cl)o2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,6.288435253
306,ALP-POS-6495d03e-6,Cc1cc(C(F)(F)F)nc2c1c(N)nn2C(=O)C1CCOc2ccc(Cl)cc21,4.238177481
231,BEN-DND-7e92b6ca-12,COc1cccc(N2CCN(C(=O)c3cc(=O)[nH]c4ccccc34)CC2)c1,4.70553888
328,MAT-POS-8a69d52e-5,C[C@H]1COc2ccc(Cl)cc2[C@H]1C(=O)Nc1cncc2ccccc12,4.099252501
218,LOR-NOR-c954e7ad-1,Cc1nc(CN2C(=O)C(=O)c3cc(Br)ccc32)cs1,4.744142147
244,MAT-POS-044491d2-2,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NC2CCC(F)(F)C2O)c1,4.589977019
183,ALP-POS-c59291d4-2,CCC(=O)Nc1ccc(N(Cc2ccsc2)C(=O)Cn2nnc3ccccc32)cc1,4.900932353
5,MAT-POS-23a8a11a-1,O=C(Cc1ccc(Cl)c(Cl)c1)Nc1cncc2ccccc12,6.880717678
242,JAN-GHE-83b26c96-22,Cc1ccncc1NC(=O)C(C)(C)c1cccc(Cl)c1,4.610429787
124,LON-WEI-adc59df6-47,C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,5.47381271
