Title	FRED Chemgauss4 score
candidates:235_96	-7.617146
candidates:15_8	-7.606560
candidates:122_118	-7.603477
candidates:177_10	-7.597902
candidates:316_16	-7.579338
candidates:184_27	-7.577419
candidates:297_39	-7.560612
candidates:39_157	-7.556329
candidates:1_13	-7.554065
candidates:55_75	-7.544969
candidates:2_72	-7.526240
candidates:59_190	-7.519603
candidates:94_22	-7.510557
candidates:346_14	-7.501884
candidates:180_163	-7.474270
candidates:250_2	-7.449380
candidates:44_121	-7.429124
candidates:255_27	-7.418509
candidates:174_102	-7.412850
candidates:176_24	-7.411460
candidates:261_33	-7.410592
candidates:328_165	-7.381523
candidates:76_21	-7.375450
candidates:81_153	-7.368466
candidates:348_45	-7.364231
candidates:33_24	-7.362249
candidates:108_13	-7.349686
candidates:34_139	-7.333101
candidates:147_52	-7.325720
candidates:93_52	-7.325625
candidates:96_19	-7.322526
candidates:103_124	-7.319888
candidates:29_128	-7.309196
candidates:17_130	-7.305081
candidates:50_14	-7.291721
candidates:195_186	-7.289185
candidates:155_155	-7.278530
candidates:11_53	-7.269269
candidates:74_11	-7.259748
candidates:90_21	-7.254942
candidates:66_195	-7.254313
candidates:51_106	-7.251642
candidates:165_1	-7.249006
candidates:144_14	-7.246337
candidates:28_36	-7.241905
candidates:26_142	-7.233769
candidates:134_71	-7.231018
candidates:83_8	-7.214704
candidates:284_8	-7.198943
candidates:289_199	-7.170796
candidates:332_147	-7.150432
candidates:19_34	-7.131874
candidates:124_10	-7.119659
candidates:49_9	-7.115428
candidates:140_13	-7.115192
candidates:352_12	-7.115129
candidates:36_2	-7.114459
candidates:133_9	-7.095841
candidates:218_29	-7.093094
candidates:219_14	-7.091463
candidates:194_9	-7.062126
candidates:260_75	-7.049284
candidates:349_2	-7.027053
candidates:251_2	-7.003801
candidates:149_66	-7.001740
candidates:130_69	-6.988155
candidates:345_37	-6.985312
candidates:113_48	-6.973889
candidates:207_156	-6.968611
candidates:160_62	-6.955573
candidates:152_30	-6.916362
candidates:343_180	-6.904303
candidates:142_7	-6.883023
candidates:78_20	-6.871546
candidates:258_1	-6.868148
candidates:25_7	-6.866856
candidates:41_102	-6.856533
candidates:47_55	-6.835760
candidates:183_41	-6.826497
candidates:220_192	-6.823542
candidates:293_170	-6.792691
candidates:97_35	-6.768719
candidates:209_20	-6.765345
candidates:275_3	-6.753839
candidates:157_123	-6.752039
candidates:179_35	-6.681462
candidates:237_25	-6.676164
candidates:123_17	-6.647830
candidates:132_66	-6.639513
candidates:48_176	-6.639203
candidates:300_11	-6.638495
candidates:58_1	-6.630127
candidates:236_1	-6.593552
candidates:27_67	-6.588125
candidates:317_11	-6.544058
candidates:353_172	-6.531640
candidates:118_15	-6.496998
candidates:299_8	-6.491388
candidates:268_124	-6.480299
candidates:52_55	-6.474227
candidates:307_3	-6.430938
candidates:75_9	-6.386611
candidates:336_114	-6.333133
candidates:277_1	-6.310885
candidates:311_1	-6.274581
candidates:339_3	-6.253923
candidates:95_141	-6.109989
candidates:191_58	-6.069097
candidates:20_150	-6.063241
candidates:306_4	-5.955846
candidates:70_18	-5.934853
candidates:242_6	-5.934326
candidates:192_32	-5.900443
candidates:213_1	-5.893071
candidates:263_70	-5.882212
candidates:42_78	-5.860549
candidates:23_19	-5.855114
candidates:31_47	-5.719956
candidates:197_47	-5.719956
candidates:89_16	-5.694364
candidates:7_108	-5.668029
candidates:40_48	-5.495499
candidates:71_20	-5.129009
